blastdbSeqID_replaced	blastdbSeqID_original	blastdbSeqLen	genename
MGE_130	IS1491_IS21_unknown	2620	IS1491
MGE_131	IS1492a_IS110_IS1111	1468	IS1492a
MGE_132	IS14999_IS630_unknown	1149	IS14999
MGE_133	IS15_IS6_unknown	1648	IS15
MGE_134	IS1501_IS3_IS3	1230	IS1501
MGE_135	IS1502_IS5_IS427	879	IS1502
MGE_136	IS1511_IS256_unknown	1278	IS1511
MGE_137	IS1512_IS256_unknown	1314	IS1512
MGE_138	IS1513_IS30_unknown	1705	IS1513
MGE_139	IS1515_IS5_ISL2	871	IS1515
MGE_140	IS1520_IS3_IS3	1302	IS1520
MGE_141	IS153_IS3_IS3	1127	IS153
MGE_142	IS1533_IS110_IS1111	1460	IS1533
MGE_143	IS1535_IS607_unknown	2300	IS1535
MGE_144	IS1536_IS607_unknown	1392	IS1536
MGE_145	IS1537_IS607_unknown	1890	IS1537
MGE_146	IS1538_IS607_unknown	2056	IS1538
MGE_147	IS1539_IS607_unknown	2058	IS1539
MGE_148	IS1541D_IS200/IS605_IS200	711	IS1541D
MGE_149	IS1542_IS256_unknown	1324	IS1542
MGE_150	IS1547_IS110_unknown	1351	IS1547
MGE_151	IS1548_ISAs1_unknown	1316	IS1548
MGE_152	IS1549_IS1634_unknown	1640	IS1549
MGE_153	IS1550_IS3_IS150	1408	IS1550
MGE_154	IS1553_IS256_unknown	1406	IS1553
MGE_155	IS1554_IS256_unknown	1462	IS1554
MGE_156	IS1557_ISL3_unknown	1509	IS1557
MGE_157	IS1562_IS1182_unknown	1481	IS1562
MGE_158	IS1563_IS1182_unknown	1540	IS1563
MGE_159	IS1598_IS4_IS4Sa	1396	IS1598
MGE_160	IS1599_IS982_unknown	1026	IS1599
MGE_161	IS16_IS256_unknown	1466	IS16
MGE_162	IS1600_IS21_unknown	2520	IS1600
MGE_163	IS1601_IS256_unknown	1417	IS1601
MGE_164	IS1602_IS607_unknown	2053	IS1602
MGE_165	IS1628_IS6_unknown	841	IS1628
MGE_166	IS1629_ISAs1_unknown	1462	IS1629
MGE_167	IS1630_IS30_unknown	1423	IS1630
MGE_168	IS1631_IS21_unknown	2712	IS1631
MGE_169	IS1632_IS256_unknown	1394	IS1632
MGE_170	IS1634_IS1634_unknown	1873	IS1634
MGE_171	IS1635_IS6_unknown	861	IS1635
MGE_172	IS1646_IS5_IS5	1158	IS1646
MGE_173	IS1647_IS5_IS427	878	IS1647
MGE_174	IS1648_IS5_IS427	969	IS1648
MGE_175	IS1649_IS481_unknown	1060	IS1649
MGE_176	IS1650_IS5_IS427	898	IS1650
MGE_177	IS1655_IS30_unknown	1080	IS1655
MGE_178	IS1661_IS3_IS150	1441	IS1661
MGE_179	IS1663_IS110_unknown	1225	IS1663
MGE_180	IS1664_IS3_IS150	1436	IS1664
MGE_181	IS1676_IS1380_unknown	1693	IS1676
MGE_182	IS1677_IS1380_unknown	1688	IS1677
MGE_183	IS1678_IS1380_unknown	1678	IS1678
MGE_184	IS18_IS30_unknown	1074	IS18
MGE_185	IS19_IS982_unknown	1050	IS19
MGE_186	IS1921_IS607_unknown	1923	IS1921
MGE_187	IS195_IS982_unknown	1070	IS195
MGE_188	IS1953_IS3_IS3	1235	IS1953
MGE_189	IS199_IS3_IS150	1220	IS199
MGE_190	IS1H_IS1_unknown	764	IS1H
MGE_191	IS1N_IS1_unknown	766	IS1N
MGE_192	IS1Sa_IS1_unknown	802	IS1Sa
MGE_193	IS2_IS3_IS2	1331	IS2
MGE_194	IS2000_IS5_IS5	1186	IS2000
MGE_195	IS2001_ISL3_unknown	1406	IS2001
MGE_196	IS200S_IS200/IS605_IS200	587	IS200S
MGE_197	IS204_ISL3_unknown	1452	IS204
MGE_198	IS21_IS21_unknown	2131	IS21
MGE_199	IS2112_IS110_unknown	1415	IS2112
MGE_200	IS220_IS1380_unknown	3257	IS220
MGE_201	IS222_IS3_IS3	1236	IS222
MGE_202	IS231A_IS4_IS231	1656	IS231A
MGE_203	IS231D_IS4_IS231	1657	IS231D
MGE_204	IS231E_IS4_IS231	2075	IS231E
MGE_205	IS231F2_IS4_IS231	2384	IS231F2
MGE_206	IS231H_IS4_IS231	1656	IS231H
MGE_207	IS231J_IS4_IS231	1593	IS231J
MGE_208	IS231K_IS4_IS231	3965	IS231K
MGE_209	IS231L_IS4_IS231	5396	IS231L
MGE_210	IS231O_IS4_IS231	1656	IS231O
MGE_211	IS231S_IS4_IS231	2479	IS231S
MGE_212	IS231V_IS4_IS231	1964	IS231V
MGE_213	IS232_IS21_unknown	2184	IS232
MGE_214	IS233A_IS982_unknown	1028	IS233A
MGE_215	IS240A_IS6_unknown	861	IS240A
MGE_216	IS240F_IS6_unknown	806	IS240F
MGE_217	IS257-1_IS6_unknown	791	IS257-1
MGE_218	IS2606_IS256_unknown	1404	IS2606
MGE_219	IS2621_IS4_ISPepr1	1322	IS2621
MGE_220	IS285_IS256_unknown	1318	IS285
MGE_221	IS292_IS66_unknown	2496	IS292
MGE_222	IS298_IS5_IS427	845	IS298
MGE_223	IS30_IS30_unknown	1221	IS30
MGE_224	IS3501_IS3_IS51	1301	IS3501
MGE_225	IS3502_IS3_IS51	1328	IS3502
MGE_226	IS3503_IS256_IS1249	1380	IS3503
MGE_227	IS3506_IS256_unknown	1423	IS3506
MGE_228	IS3507_IS256_IS1249	1388	IS3507
MGE_229	IS3514_IS481_unknown	1427	IS3514
MGE_230	IS3H_IS3_IS3	1261	IS3H
MGE_231	IS4_IS4_IS4	1426	IS4
MGE_232	IS401_IS3_IS51	1316	IS401
MGE_233	IS402_IS5_IS427	914	IS402
MGE_234	IS406_IS256_unknown	1367	IS406
MGE_235	IS407_IS3_IS407	1236	IS407
MGE_236	IS408_IS21_unknown	2798	IS408
MGE_237	IS421_IS4_IS231	1342	IS421
MGE_238	IS426_IS3_IS2	1319	IS426
MGE_239	IS427_IS5_IS427	1271	IS427
MGE_240	IS4351_IS30_unknown	1155	IS4351
MGE_241	IS4502_IS256_unknown	1422	IS4502
MGE_242	IS466_ISL3_unknown	1628	IS466
MGE_243	IS469_ISL3_unknown	1647	IS469
MGE_244	IS470_IS5_ISL2	1010	IS470
MGE_245	IS476_IS3_IS407	1226	IS476
MGE_246	IS481_IS481_unknown	1043	IS481
MGE_247	IS4811_IS5_IS1031	5396	IS4811
MGE_248	IS492_IS110_unknown	1202	IS492
MGE_249	IS493_IS5_ISL2	1643	IS493
MGE_250	IS4Bsu1_IS4_IS4Sa	1406	IS4Bsu1
MGE_251	IS4Sa_IS4_IS4Sa	1303	IS4Sa
MGE_252	IS4Sa2_IS701_unknown	1418	IS4Sa2
MGE_253	IS51_IS3_IS51	1311	IS51
MGE_254	IS511_IS3_IS407	1266	IS511
MGE_255	IS5376_IS21_unknown	2107	IS5376
MGE_256	IS5377_IS4_IS4Sa	1249	IS5377
MGE_257	IS5564_IS481_unknown	1261	IS5564
MGE_258	IS5708_IS110_IS1111	1364	IS5708
MGE_259	IS5B_IS5_IS5	1207	IS5B
MGE_260	IS5D_IS5_IS5	1283	IS5D
MGE_261	IS5Sa_IS5_IS1031	871	IS5Sa
MGE_262	IS5Sa2_IS5_IS1031	908	IS5Sa2
MGE_263	IS605_IS200/IS605_IS605	1887	IS605
MGE_264	IS606_IS200/IS605_IS605	1967	IS606
MGE_265	IS607_IS607_unknown	2027	IS607
MGE_266	IS609_IS200/IS605_IS605	1748	IS609
MGE_267	IS612_IS1380_IS942	1598	IS612
MGE_268	IS6120_IS256_unknown	1486	IS6120
MGE_269	IS613_IS1380_IS942	1595	IS613
MGE_270	IS615_IS1380_IS942	1594	IS615
MGE_271	IS621_IS110_unknown	1425	IS621
MGE_272	IS630-Spn1_IS630_unknown	895	IS630-Spn1
MGE_273	IS630_IS630_unknown	1153	IS630
MGE_274	IS641_IS4_IS4Sa	1405	IS641
MGE_275	IS642_IS630_unknown	1142	IS642
MGE_276	IS643_IS21_unknown	2485	IS643
MGE_277	IS650_IS110_unknown	1929	IS650
MGE_278	IS651_ISL3_unknown	1384	IS651
MGE_279	IS652_ISL3_unknown	1461	IS652
MGE_280	IS653_IS110_unknown	1805	IS653
MGE_281	IS654_IS256_unknown	1384	IS654
MGE_282	IS655_IS3_unknown	1221	IS655
MGE_283	IS656_IS1182_unknown	1558	IS656
MGE_284	IS657_IS200/IS605_IS200	734	IS657
MGE_285	IS658_IS30_unknown	1058	IS658
MGE_286	IS66_IS66_unknown	2556	IS66
MGE_287	IS660_IS1182_unknown	1963	IS660
MGE_288	IS662_IS1182_unknown	1566	IS662
MGE_289	IS663_IS1182_unknown	1980	IS663
MGE_290	IS666_IS256_unknown	1472	IS666
MGE_291	IS6770_IS30_unknown	1065	IS6770
MGE_292	IS679_IS66_unknown	2704	IS679
MGE_293	IS682_IS66_unknown	2533	IS682
MGE_294	IS692_IS66_unknown	2563	IS692
MGE_295	IS693_IS66_unknown	3078	IS693
MGE_296	IS701_IS701_unknown	1389	IS701
MGE_297	IS702_IS5_ISL2	1098	IS702
MGE_298	IS71_IS66_unknown	2386	IS71
MGE_299	IS711_IS5_IS427	842	IS711
MGE_300	IS712_IS21_unknown	2163	IS712
MGE_301	IS801_IS91_unknown	1512	IS801
MGE_302	IS8301_IS200/IS605_IS605	1741	IS8301
MGE_303	IS8402_IS4_IS10	1322	IS8402
MGE_304	IS861_IS3_IS150	1442	IS861
MGE_305	IS866_IS66_unknown	2716	IS866
MGE_306	IS867_IS66_unknown	307	IS867
MGE_307	IS868_IS3_IS51	1321	IS868
MGE_308	IS869_IS5_IS427	849	IS869
MGE_309	IS870_IS630_unknown	1146	IS870
MGE_310	IS881_IS5_IS5	3033	IS881
MGE_311	IS883_IS66_unknown	2461	IS883
MGE_312	IS884_IS110_IS1111	1424	IS884
MGE_313	IS885_IS630_unknown	1100	IS885
MGE_314	IS891_IS200/IS605_IS1341	1352	IS891
MGE_315	IS892_ISNCY_IS892	1675	IS892
MGE_316	IS895_IS630_unknown	1192	IS895
MGE_317	IS900_IS110_unknown	1451	IS900
MGE_318	IS901_IS110_unknown	1472	IS901
MGE_319	IS91_IS91_unknown	1829	IS91
MGE_320	IS911_IS3_IS3	1250	IS911
MGE_321	IS931_IS256_unknown	1477	IS931
MGE_322	IS942_IS1380_IS942	1598	IS942
MGE_323	IS943_IS4_ISPepr1	1557	IS943
MGE_324	IS981_IS3_IS3	1224	IS981
MGE_325	IS982_IS982_unknown	999	IS982
MGE_326	IS987_IS3_IS51	1355	IS987
MGE_327	IS994_IS3_IS51	1345	IS994
MGE_328	IS999_IS3_IS51	1347	IS999
MGE_329	ISA0963-1_IS481_unknown	963	ISA0963-1
MGE_330	ISA0963-2_IS481_unknown	963	ISA0963-2
MGE_331	ISA0963-7_IS481_unknown	963	ISA0963-7
MGE_332	ISA1083-2_IS630_unknown	1083	ISA1083-2
MGE_333	ISA1214-1_ISNCY_ISA1214	1214	ISA1214-1
MGE_334	ISA1214-6_ISNCY_ISA1214	1213	ISA1214-6
MGE_335	ISA1218_IS5_unknown	1218	ISA1218
MGE_336	ISAac2_IS5_IS427	885	ISAac2
MGE_337	ISAac3_IS200/IS605_IS200	722	ISAac3
MGE_338	ISAae1_IS5_IS903	1010	ISAae1
MGE_339	ISAal1_IS1595_ISSod11	957	ISAal1
MGE_340	ISAan1_IS1595_ISSod11	1092	ISAan1
MGE_341	ISAar1_IS1595_ISSod11	1217	ISAar1
MGE_342	ISAar10_IS1380_unknown	1602	ISAar10
MGE_343	ISAar11_IS1380_unknown	1737	ISAar11
MGE_344	ISAar12_IS1380_unknown	1736	ISAar12
MGE_345	ISAar13_ISL3_unknown	1416	ISAar13
MGE_346	ISAar15_ISL3_unknown	1418	ISAar15
MGE_347	ISAar16_IS110_unknown	1396	ISAar16
MGE_348	ISAar17_IS110_unknown	1473	ISAar17
MGE_349	ISAar18_IS110_unknown	1386	ISAar18
MGE_350	ISAar19_ISL3_unknown	1449	ISAar19
MGE_351	ISAar2_IS110_unknown	1473	ISAar2
MGE_352	ISAar20_ISL3_unknown	1449	ISAar20
MGE_353	ISAar21_IS4_IS4	1396	ISAar21
MGE_354	ISAar22_IS481_unknown	1722	ISAar22
MGE_355	ISAar23_ISL3_unknown	1449	ISAar23
MGE_356	ISAar24_IS3_IS3	1270	ISAar24
MGE_357	ISAar25_IS3_IS3	1309	ISAar25
MGE_358	ISAar27_IS481_unknown	1669	ISAar27
MGE_359	ISAar28_IS481_unknown	1593	ISAar28
MGE_360	ISAar29_IS110_unknown	1385	ISAar29
MGE_361	ISAar3_IS3_IS407	1258	ISAar3
MGE_362	ISAar30_ISL3_unknown	1435	ISAar30
MGE_363	ISAar31_IS630_unknown	1155	ISAar31
MGE_364	ISAar32_IS1380_unknown	1738	ISAar32
MGE_365	ISAar33_IS21_unknown	2628	ISAar33
MGE_366	ISAar34_ISL3_unknown	1438	ISAar34
MGE_367	ISAar35_IS481_unknown	1072	ISAar35
MGE_368	ISAar36_IS21_unknown	2571	ISAar36
MGE_369	ISAar37_IS3_IS3	1309	ISAar37
MGE_370	ISAar38_IS5_IS427	1010	ISAar38
MGE_371	ISAar39_ISL3_unknown	1433	ISAar39
MGE_372	ISAar4_IS3_IS3	1304	ISAar4
MGE_373	ISAar40_IS3_IS3	1347	ISAar40
MGE_374	ISAar41_IS110_unknown	1346	ISAar41
MGE_375	ISAar42_ISL3_unknown	1443	ISAar42
MGE_376	ISAar43_IS3_IS407	1247	ISAar43
MGE_377	ISAar44_IS3_IS3	1599	ISAar44
MGE_378	ISAar45_IS3_IS3	1280	ISAar45
MGE_379	ISAar46_IS3_IS3	1526	ISAar46
MGE_380	ISAar5_IS256_IS1249	1341	ISAar5
MGE_381	ISAar6_IS256_unknown	1519	ISAar6
MGE_382	ISAar7_IS21_unknown	2983	ISAar7
MGE_383	ISAau1_IS3_IS407	1257	ISAau1
MGE_384	ISAau2_IS21_unknown	2222	ISAau2
MGE_385	ISAau3_IS5_IS5	1205	ISAau3
MGE_386	ISAau5_ISNCY_unknown	3989	ISAau5
MGE_387	ISAav1_IS21_unknown	2532	ISAav1
MGE_388	ISAav2_IS5_IS903	1031	ISAav2
MGE_389	ISAav3_IS5_unknown	1321	ISAav3
MGE_390	ISAav4_IS3_IS3	1308	ISAav4
MGE_391	ISAav5_IS481_unknown	1023	ISAav5
MGE_392	ISAba11_IS701_ISAba11	1101	ISAba11
MGE_393	ISAba13_IS5_IS903	1039	ISAba13
MGE_394	ISAba14_IS3_IS150	1282	ISAba14
MGE_395	ISAba15_IS5_IS1031	873	ISAba15
MGE_396	ISAba17_IS66_unknown	2594	ISAba17
MGE_397	ISAba20_IS3_IS407	1199	ISAba20
MGE_398	ISAba21_IS3_IS3	1274	ISAba21
MGE_399	ISAba23_IS5_IS5	1249	ISAba23
MGE_400	ISAba24_IS66_unknown	2421	ISAba24
MGE_401	ISAba25_IS66_unknown	2491	ISAba25
MGE_402	ISAba26_IS256_unknown	1318	ISAba26
MGE_403	ISAba27_IS5_ISL2	883	ISAba27
MGE_404	ISAba28_IS66_unknown	2740	ISAba28
MGE_405	ISAba3_IS1_unknown	794	ISAba3
MGE_406	ISAba30_IS200/IS605_IS605	1770	ISAba30
MGE_407	ISAba31_IS5_IS427	858	ISAba31
MGE_408	ISAba32_ISNCY_IS1202	1482	ISAba32
MGE_409	ISAba36_IS1595_IS1016	712	ISAba36
MGE_410	ISAba37_IS5_IS1031	872	ISAba37
MGE_411	ISAba4_IS982_unknown	975	ISAba4
MGE_412	ISAba40_IS5_IS903	1039	ISAba40
MGE_413	ISAba42_IS256_unknown	1320	ISAba42
MGE_414	ISAba43_ISL3_unknown	1389	ISAba43
MGE_415	ISAba44_IS630_unknown	882	ISAba44
MGE_416	ISAba45_IS3_IS150	1461	ISAba45
MGE_417	ISAba46_IS66_unknown	2512	ISAba46
MGE_418	ISAba48_IS701_ISAba11	1158	ISAba48
MGE_419	ISAba49_IS66_unknown	2554	ISAba49
MGE_420	ISAba5_IS5_IS903	1044	ISAba5
MGE_421	ISAba50_IS256_unknown	1314	ISAba50
MGE_422	ISAba53_IS5_IS903	1039	ISAba53
MGE_423	ISAba57_IS3_IS407	1201	ISAba57
MGE_424	ISAba6_IS982_unknown	1003	ISAba6
MGE_425	ISAba7_IS5_IS903	1039	ISAba7
MGE_426	ISAba825_IS982_unknown	975	ISAba825
MGE_427	ISAba9_IS982_unknown	974	ISAba9
MGE_428	ISAbc1_IS1595_ISSod11	1056	ISAbc1
MGE_429	ISAbe10_IS256_unknown	1313	ISAbe10
MGE_430	ISAbe12_IS3_IS3	1236	ISAbe12
MGE_431	ISAbe13_IS5_IS427	857	ISAbe13
MGE_432	ISAbe14_ISL3_unknown	9637	ISAbe14
MGE_433	ISAbe15_IS5_ISL2	869	ISAbe15
MGE_434	ISAbe16_IS3_IS150	1426	ISAbe16
MGE_435	ISAbe17_IS3_IS3	1313	ISAbe17
MGE_436	ISAbe18_IS4_IS4Sa	1269	ISAbe18
MGE_437	ISAbe5_IS1595_IS1016	712	ISAbe5
MGE_438	ISAbe6_IS3_IS407	1197	ISAbe6
MGE_439	ISAbe8_IS30_unknown	1077	ISAbe8
MGE_440	ISAbe9_IS630_unknown	997	ISAbe9
MGE_441	ISAbo1_IS3_IS51	1229	ISAbo1
MGE_442	ISAcar1_ISNCY_unknown	1131	ISAcar1
MGE_443	ISAcas1_ISKra4_ISAzba1	1467	ISAcas1
MGE_444	ISAcas2_ISKra4_ISMich2	1164	ISAcas2
MGE_445	ISAcas3_ISKra4_ISKra4	1484	ISAcas3
MGE_446	ISAcba1_IS1595_ISSod11	3517	ISAcba1
MGE_447	ISAcc1_IS1182_unknown	1610	ISAcc1
MGE_448	ISAcc2_IS1182_unknown	1608	ISAcc2
MGE_449	ISAcce1_ISKra4_ISKra4	1967	ISAcce1
MGE_450	ISAcde2_IS1595_ISPna2	1032	ISAcde2
MGE_451	ISAcfe1_IS1182_unknown	1772	ISAcfe1
MGE_452	ISAch1_IS5_IS5	1192	ISAch1
MGE_453	ISAchd1_IS1595_ISPna2	1027	ISAchd1
MGE_454	ISAcif1_ISNCY_ISMae2	2464	ISAcif1
MGE_455	ISAcif2_IS1595_ISPna2	1402	ISAcif2
MGE_456	ISAcl1_IS30_unknown	1341	ISAcl1
MGE_457	ISAcl2_IS3_IS3	1243	ISAcl2
MGE_458	ISAcma1_IS6_unknown	846	ISAcma1
MGE_459	ISAcma10_ISL3_unknown	1385	ISAcma10
MGE_460	ISAcma11_IS4_ISPepr1	1347	ISAcma11
MGE_461	ISAcma12_ISAs1_unknown	1166	ISAcma12
MGE_462	ISAcma13_IS3_IS150	1263	ISAcma13
MGE_463	ISAcma15_IS630_unknown	1083	ISAcma15
MGE_464	ISAcma16_IS4_IS4	1483	ISAcma16
MGE_465	ISAcma17_IS5_IS5	1697	ISAcma17
MGE_466	ISAcma18_IS4_IS50	1530	ISAcma18
MGE_467	ISAcma19_IS4_IS10	1316	ISAcma19
MGE_468	ISAcma2_ISAs1_unknown	1263	ISAcma2
MGE_469	ISAcma20_IS5_IS1031	867	ISAcma20
MGE_470	ISAcma21_IS1380_unknown	1474	ISAcma21
MGE_471	ISAcma22_IS701_ISAba11	1136	ISAcma22
MGE_472	ISAcma23_ISL3_unknown	1810	ISAcma23
MGE_473	ISAcma24_IS701_unknown	1428	ISAcma24
MGE_474	ISAcma25_IS630_unknown	950	ISAcma25
MGE_475	ISAcma26_IS21_unknown	2669	ISAcma26
MGE_476	ISAcma27_IS630_unknown	1185	ISAcma27
MGE_477	ISAcma28_IS630_unknown	1130	ISAcma28
MGE_478	ISAcma29_IS630_unknown	1210	ISAcma29
MGE_479	ISAcma3_IS1_ISMhu11	904	ISAcma3
MGE_480	ISAcma30_IS630_unknown	1201	ISAcma30
MGE_481	ISAcma31_IS630_unknown	939	ISAcma31
MGE_482	ISAcma32_IS630_unknown	1161	ISAcma32
MGE_483	ISAcma34_IS630_unknown	1081	ISAcma34
MGE_484	ISAcma36_IS1_unknown	1069	ISAcma36
MGE_485	ISAcma37_IS701_unknown	1218	ISAcma37
MGE_486	ISAcma39_IS200/IS605_IS200	584	ISAcma39
MGE_487	ISAcma4_IS1_unknown	796	ISAcma4
MGE_488	ISAcma40_IS1_unknown	1068	ISAcma40
MGE_489	ISAcma41_IS630_unknown	1139	ISAcma41
MGE_490	ISAcma42_IS701_ISAba11	1140	ISAcma42
MGE_491	ISAcma43_IS5_IS1031	910	ISAcma43
MGE_492	ISAcma44_IS4_IS10	1304	ISAcma44
MGE_493	ISAcma46_IS1182_unknown	1864	ISAcma46
